Step: 50, Loss: 1.8326958417892456, Accuracy: 0.3151041567325592
Step: 100, Loss: 1.7104276418685913, Accuracy: 0.3893229067325592
Step: 150, Loss: 1.482912540435791, Accuracy: 0.4596354067325592
Step: 200, Loss: 0.8700199127197266, Accuracy: 0.7473958134651184
Step: 250, Loss: 0.44056496024131775, Accuracy: 0.8971354365348816
Step: 300, Loss: 0.2732546627521515, Accuracy: 0.9583333134651184
Step: 350, Loss: 0.1615833342075348, Accuracy: 0.9739583134651184
Step: 400, Loss: 0.15848515927791595, Accuracy: 0.9622395634651184
Step: 450, Loss: 0.13573575019836426, Accuracy: 0.9622395634651184
Step: 500, Loss: 0.10980916768312454, Accuracy: 0.9830729365348816
Step: 550, Loss: 0.06548037379980087, Accuracy: 0.9895833134651184
Step: 600, Loss: 0.06731360405683517, Accuracy: 0.9752604365348816
Step: 650, Loss: 0.09685549885034561, Accuracy: 0.9908854365348816
Step: 700, Loss: 0.06149644777178764, Accuracy: 0.9947916865348816
Step: 750, Loss: 0.05454392358660698, Accuracy: 0.9973958134651184
Step: 800, Loss: 0.03400785103440285, Accuracy: 0.9986979365348816
Step: 850, Loss: 0.036060456186532974, Accuracy: 0.9973958134651184
Step: 900, Loss: 0.025545785203576088, Accuracy: 0.9986979365348816
Step: 950, Loss: 0.02516302466392517, Accuracy: 0.9986979365348816
Step: 1000, Loss: 0.0178730059415102, Accuracy: 1.0
Step: 1050, Loss: 0.015072539448738098, Accuracy: 1.0
Step: 1100, Loss: 0.025828784331679344, Accuracy: 0.9947916865348816
Step: 1150, Loss: 0.022116398438811302, Accuracy: 0.9973958134651184
Step: 1200, Loss: 0.017872057855129242, Accuracy: 0.9973958134651184
Step: 1250, Loss: 0.02690645307302475, Accuracy: 0.9973958134651184
Step: 1300, Loss: 0.01440958958119154, Accuracy: 0.9986979365348816
Step: 1350, Loss: 0.013879070989787579, Accuracy: 0.9973958134651184
Step: 1400, Loss: 0.009045781567692757, Accuracy: 0.9986979365348816
Step: 1450, Loss: 0.020374378189444542, Accuracy: 0.99609375
Step: 1500, Loss: 0.010413737036287785, Accuracy: 0.9973958134651184
Step: 1550, Loss: 0.013435161672532558, Accuracy: 0.9947916865348816
Step: 1600, Loss: 0.01051426213234663, Accuracy: 1.0
Step: 1650, Loss: 0.014002754352986813, Accuracy: 0.99609375
Step: 1700, Loss: 0.011647417210042477, Accuracy: 0.9986979365348816
Step: 1750, Loss: 0.01053368765860796, Accuracy: 0.9947916865348816
Step: 1800, Loss: 0.006011486053466797, Accuracy: 0.9986979365348816
Step: 1850, Loss: 0.012107032351195812, Accuracy: 0.9986979365348816
Step: 1900, Loss: 0.0054915533401072025, Accuracy: 1.0
Step: 1950, Loss: 0.007226217538118362, Accuracy: 0.9986979365348816
Step: 2000, Loss: 0.011046741157770157, Accuracy: 0.9986979365348816
Step: 2050, Loss: 0.004238166380673647, Accuracy: 1.0
Step: 2100, Loss: 0.010405085980892181, Accuracy: 0.9986979365348816
Step: 2150, Loss: 0.0033769782166928053, Accuracy: 1.0
Step: 2200, Loss: 0.004553003702312708, Accuracy: 1.0
Step: 2250, Loss: 0.010042819194495678, Accuracy: 0.9986979365348816
Step: 2300, Loss: 0.007042132783681154, Accuracy: 0.9986979365348816
Step: 2350, Loss: 0.003991162870079279, Accuracy: 1.0
Step: 2400, Loss: 0.006701510399580002, Accuracy: 0.9986979365348816
Step: 2450, Loss: 0.00299972970969975, Accuracy: 1.0
Step: 2500, Loss: 0.003209218382835388, Accuracy: 1.0
Test Loss: 0.0029150121845304966, Test Accuracy: 1.0
