Step: 50, Loss: 1.8365263938903809, Accuracy: 0.234375
Step: 100, Loss: 1.7943378686904907, Accuracy: 0.2721354067325592
Step: 150, Loss: 1.7215365171432495, Accuracy: 0.33984375
Step: 200, Loss: 1.5882335901260376, Accuracy: 0.3736979067325592
Step: 250, Loss: 1.5083650350570679, Accuracy: 0.4557291567325592
Step: 300, Loss: 1.4372299909591675, Accuracy: 0.34765625
Step: 350, Loss: 1.3626190423965454, Accuracy: 0.4778645932674408
Step: 400, Loss: 1.3466873168945312, Accuracy: 0.4635416567325592
Step: 450, Loss: 1.3222755193710327, Accuracy: 0.4505208432674408
Step: 500, Loss: 1.3072738647460938, Accuracy: 0.4713541567325592
Step: 550, Loss: 1.2318834066390991, Accuracy: 0.49609375
Step: 600, Loss: 1.2617582082748413, Accuracy: 0.4713541567325592
Step: 650, Loss: 1.2916284799575806, Accuracy: 0.5065104365348816
Step: 700, Loss: 1.2167303562164307, Accuracy: 0.4908854067325592
Step: 750, Loss: 1.1526906490325928, Accuracy: 0.5247395634651184
Step: 800, Loss: 1.1024017333984375, Accuracy: 0.5950520634651184
Step: 850, Loss: 1.121018886566162, Accuracy: 0.578125
Step: 900, Loss: 1.0516022443771362, Accuracy: 0.5546875
Step: 950, Loss: 1.0891029834747314, Accuracy: 0.5768229365348816
Step: 1000, Loss: 1.0802606344223022, Accuracy: 0.5677083134651184
Step: 1050, Loss: 1.0497492551803589, Accuracy: 0.58203125
Step: 1100, Loss: 1.0503268241882324, Accuracy: 0.56640625
Step: 1150, Loss: 1.0627385377883911, Accuracy: 0.5716145634651184
Step: 1200, Loss: 1.0540530681610107, Accuracy: 0.59375
Step: 1250, Loss: 1.069732904434204, Accuracy: 0.5403645634651184
Step: 1300, Loss: 1.051499843597412, Accuracy: 0.5989583134651184
Step: 1350, Loss: 1.061902642250061, Accuracy: 0.5638020634651184
Step: 1400, Loss: 0.9638338685035706, Accuracy: 0.5768229365348816
Step: 1450, Loss: 1.0472652912139893, Accuracy: 0.59765625
Step: 1500, Loss: 0.987053632736206, Accuracy: 0.58203125
Step: 1550, Loss: 1.0260406732559204, Accuracy: 0.6236979365348816
Step: 1600, Loss: 1.0520066022872925, Accuracy: 0.5794270634651184
Step: 1650, Loss: 1.021338701248169, Accuracy: 0.578125
Step: 1700, Loss: 0.9842352867126465, Accuracy: 0.5338541865348816
Step: 1750, Loss: 1.0750066041946411, Accuracy: 0.5755208134651184
Step: 1800, Loss: 0.991274356842041, Accuracy: 0.61328125
Step: 1850, Loss: 0.9718725681304932, Accuracy: 0.578125
Step: 1900, Loss: 0.9936326146125793, Accuracy: 0.5885416865348816
Step: 1950, Loss: 1.070086121559143, Accuracy: 0.5625
Step: 2000, Loss: 1.0194464921951294, Accuracy: 0.609375
Step: 2050, Loss: 0.9861711859703064, Accuracy: 0.58984375
Step: 2100, Loss: 1.017884612083435, Accuracy: 0.5885416865348816
Step: 2150, Loss: 0.971837043762207, Accuracy: 0.5885416865348816
Step: 2200, Loss: 0.9935929775238037, Accuracy: 0.6028645634651184
Step: 2250, Loss: 1.0397871732711792, Accuracy: 0.5807291865348816
Step: 2300, Loss: 0.9723007082939148, Accuracy: 0.609375
Step: 2350, Loss: 0.9958205223083496, Accuracy: 0.58203125
Step: 2400, Loss: 0.9466556906700134, Accuracy: 0.6145833134651184
Step: 2450, Loss: 1.0126487016677856, Accuracy: 0.59375
Step: 2500, Loss: 1.0107399225234985, Accuracy: 0.59765625
Test Loss: 1.0027270317077637, Test Accuracy: 0.578125
